epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,371.887,1.03713,0.74933,1.05154,0.73788,0.79664,0.79357,0.5479,1.09147,1.03066,1.09979,0.00016516,0.00016516,0.00016516
43,380.054,1.04915,0.742,1.05829,0.8432,0.8646,0.88109,0.58898,1.11439,0.86884,1.12465,0.000162408,0.000162408,0.000162408
44,389.001,1.03126,0.70294,1.04178,0.8556,0.87753,0.89462,0.60761,1.10811,0.82265,1.10848,0.000159655,0.000159655,0.000159655
45,397.897,1.0274,0.68468,1.03569,0.83048,0.82356,0.87221,0.59607,1.08098,0.85114,1.10381,0.000156903,0.000156903,0.000156903
46,406.104,1.03039,0.69979,1.04081,0.85625,0.86028,0.89561,0.61338,1.06947,0.79086,1.08931,0.000154151,0.000154151,0.000154151
47,415.091,1.02054,0.68586,1.03584,0.84264,0.83871,0.86518,0.59724,1.0648,0.88572,1.09365,0.000151399,0.000151399,0.000151399
48,423.932,1.01915,0.69676,1.03923,0.75792,0.84442,0.85138,0.57744,1.09416,0.9192,1.09827,0.000148647,0.000148647,0.000148647
49,432.092,1.01764,0.66802,1.03888,0.85838,0.88409,0.90882,0.63336,1.04778,0.75871,1.08055,0.000145894,0.000145894,0.000145894
50,440.96,1.00337,0.67359,1.03181,0.81238,0.86233,0.88674,0.60916,1.05871,0.81344,1.09492,0.000143142,0.000143142,0.000143142
51,449.813,1.00443,0.68758,1.03566,0.81682,0.822,0.87054,0.60228,1.06125,0.86552,1.0905,0.00014039,0.00014039,0.00014039
52,458.087,0.99698,0.64792,1.0249,0.86808,0.8658,0.89148,0.61153,1.0718,0.81269,1.09308,0.000137638,0.000137638,0.000137638
53,467.596,0.99113,0.6498,1.02289,0.83434,0.83627,0.8712,0.60162,1.06103,0.88297,1.09337,0.000134886,0.000134886,0.000134886
54,476.52,0.97539,0.6425,1.0224,0.84098,0.86677,0.88797,0.62118,1.05497,0.80348,1.09396,0.000132133,0.000132133,0.000132133
55,484.819,0.97991,0.64347,1.02262,0.83257,0.85365,0.88077,0.61686,1.06396,0.81341,1.08824,0.000129381,0.000129381,0.000129381
56,493.687,1.0036,0.65432,1.03022,0.83343,0.85224,0.88713,0.61639,1.0619,0.81197,1.09351,0.000126629,0.000126629,0.000126629
57,502.507,0.96331,0.63781,1.01686,0.85812,0.86594,0.89608,0.62633,1.04931,0.78948,1.09209,0.000123877,0.000123877,0.000123877
58,510.895,0.99262,0.63545,1.02618,0.81526,0.84019,0.8643,0.60194,1.05588,0.87438,1.09487,0.000121125,0.000121125,0.000121125
59,519.676,0.9749,0.63976,1.01756,0.86615,0.87703,0.89948,0.62846,1.06013,0.77788,1.09671,0.000118372,0.000118372,0.000118372
60,528.561,0.96483,0.62004,1.01921,0.81702,0.81995,0.85765,0.59835,1.07698,0.90663,1.09193,0.00011562,0.00011562,0.00011562
61,537.11,0.96545,0.61308,1.01259,0.85837,0.85987,0.88955,0.62252,1.05328,0.79744,1.09065,0.000112868,0.000112868,0.000112868
62,545.829,0.97097,0.61649,1.02109,0.83894,0.858,0.89003,0.62736,1.03473,0.80445,1.07801,0.000110116,0.000110116,0.000110116
63,555.48,0.97524,0.61366,1.01663,0.8373,0.8533,0.88725,0.62311,1.05972,0.81521,1.08034,0.000107364,0.000107364,0.000107364
64,564.607,0.94357,0.59468,1.00495,0.86351,0.84324,0.88993,0.62503,1.04209,0.81493,1.08093,0.000104611,0.000104611,0.000104611
65,572.8,0.94499,0.59775,1.00831,0.84652,0.85463,0.88479,0.61419,1.06118,0.82694,1.08887,0.000101859,0.000101859,0.000101859
66,581.673,0.95667,0.59982,1.01381,0.86915,0.87021,0.89927,0.63409,1.03243,0.76146,1.0804,9.9107e-05,9.9107e-05,9.9107e-05
67,590.801,0.95547,0.60056,1.01128,0.87587,0.85087,0.89057,0.62455,1.05049,0.81496,1.07802,9.63548e-05,9.63548e-05,9.63548e-05
68,599.263,0.95669,0.60778,1.00888,0.8437,0.84479,0.88351,0.62196,1.04852,0.81825,1.0892,9.36026e-05,9.36026e-05,9.36026e-05
69,608.22,0.93262,0.59533,1.00876,0.87561,0.86676,0.90603,0.64093,1.03788,0.75206,1.0795,9.08504e-05,9.08504e-05,9.08504e-05
70,617.274,0.93998,0.57293,0.99851,0.86758,0.8449,0.89577,0.63567,1.03319,0.76907,1.07693,8.80982e-05,8.80982e-05,8.80982e-05
71,625.584,0.94955,0.58604,1.00234,0.85987,0.86194,0.89539,0.63611,1.03112,0.77797,1.0782,8.5346e-05,8.5346e-05,8.5346e-05
72,634.415,0.92449,0.57646,1.00008,0.86217,0.86789,0.89469,0.63009,1.03404,0.78887,1.08573,8.25938e-05,8.25938e-05,8.25938e-05
73,643.419,0.93755,0.59092,1.00542,0.84401,0.84624,0.88491,0.61861,1.05533,0.85133,1.09052,7.98416e-05,7.98416e-05,7.98416e-05
74,651.617,0.93556,0.57493,0.99716,0.85704,0.8594,0.90463,0.64191,1.03167,0.77067,1.08467,7.70894e-05,7.70894e-05,7.70894e-05
75,660.466,0.9688,0.59104,1.01038,0.84329,0.85147,0.8943,0.6367,1.02604,0.79303,1.07916,7.43372e-05,7.43372e-05,7.43372e-05
76,669.39,0.90595,0.56631,0.9968,0.858,0.8581,0.89724,0.642,1.01021,0.76994,1.06818,7.1585e-05,7.1585e-05,7.1585e-05
77,677.696,0.92366,0.56288,1.00734,0.88502,0.8743,0.90892,0.64435,1.02795,0.73684,1.07585,6.88328e-05,6.88328e-05,6.88328e-05
78,686.614,0.91042,0.56771,0.99268,0.85829,0.85347,0.89294,0.64104,1.02498,0.78997,1.07214,6.60806e-05,6.60806e-05,6.60806e-05
79,695.557,0.91472,0.55876,0.99463,0.8655,0.86497,0.89916,0.64448,1.02252,0.79697,1.07233,6.33284e-05,6.33284e-05,6.33284e-05
80,703.788,0.92934,0.5617,0.99753,0.85383,0.85818,0.89793,0.64353,1.01906,0.78818,1.073,6.05762e-05,6.05762e-05,6.05762e-05
81,712.545,0.9186,0.55794,0.99407,0.85902,0.83496,0.88656,0.63991,1.02287,0.80374,1.07149,5.7824e-05,5.7824e-05,5.7824e-05
82,721.475,0.91704,0.55902,0.99499,0.87582,0.8641,0.90252,0.64856,1.02349,0.75079,1.07414,5.50718e-05,5.50718e-05,5.50718e-05
83,729.821,0.92603,0.56029,0.99571,0.8526,0.85834,0.89998,0.63989,1.02846,0.77781,1.07762,5.23196e-05,5.23196e-05,5.23196e-05
84,738.645,0.91342,0.55905,0.98874,0.86853,0.86755,0.89954,0.64504,1.01635,0.77274,1.07442,4.95674e-05,4.95674e-05,4.95674e-05
85,747.497,0.91488,0.54811,0.99438,0.86447,0.8617,0.89008,0.64345,1.0147,0.78577,1.07277,4.68152e-05,4.68152e-05,4.68152e-05
86,755.782,0.91451,0.55581,0.99041,0.85157,0.86678,0.89293,0.64279,1.02231,0.77646,1.07247,4.4063e-05,4.4063e-05,4.4063e-05
87,764.706,0.88732,0.53106,0.98736,0.8649,0.86345,0.90329,0.64727,1.01668,0.75123,1.06949,4.13108e-05,4.13108e-05,4.13108e-05
88,773.781,0.90514,0.53945,0.98622,0.85854,0.87018,0.90118,0.64989,1.01009,0.75085,1.06628,3.85586e-05,3.85586e-05,3.85586e-05
89,782.153,0.9031,0.53578,0.98787,0.8751,0.85795,0.90801,0.65326,1.01028,0.74045,1.06725,3.58064e-05,3.58064e-05,3.58064e-05
90,791.041,0.87405,0.5253,0.97956,0.87146,0.85821,0.90358,0.6532,1.0043,0.74242,1.06372,3.30542e-05,3.30542e-05,3.30542e-05
91,801.03,0.87643,0.48228,0.99486,0.86908,0.87008,0.90117,0.64566,1.03295,0.7404,1.08421,3.0302e-05,3.0302e-05,3.0302e-05
92,808.91,0.86075,0.46985,0.98794,0.85581,0.86552,0.89573,0.64393,1.01562,0.75368,1.07576,2.75498e-05,2.75498e-05,2.75498e-05
93,817.641,0.85798,0.46881,0.98876,0.87317,0.85424,0.89429,0.64699,1.00884,0.74949,1.0707,2.47976e-05,2.47976e-05,2.47976e-05
94,826.629,0.85251,0.46477,0.98823,0.87571,0.86046,0.90051,0.65051,1.00726,0.73577,1.06852,2.20454e-05,2.20454e-05,2.20454e-05
95,834.518,0.84456,0.45244,0.98445,0.87227,0.8669,0.90577,0.65039,1.00947,0.73031,1.07,1.92932e-05,1.92932e-05,1.92932e-05
96,842.897,0.83251,0.45121,0.97794,0.86781,0.87183,0.90145,0.65411,1.00485,0.74,1.06858,1.6541e-05,1.6541e-05,1.6541e-05
97,851.41,0.84005,0.4525,0.97687,0.85932,0.87891,0.9003,0.65358,1.0038,0.74534,1.06782,1.37888e-05,1.37888e-05,1.37888e-05
98,859.3,0.83781,0.44988,0.98229,0.84973,0.88479,0.90008,0.65387,1.00181,0.74528,1.0669,1.10366e-05,1.10366e-05,1.10366e-05
99,867.691,0.82958,0.44582,0.97658,0.84875,0.88467,0.90066,0.6551,0.99663,0.74213,1.0651,8.2844e-06,8.2844e-06,8.2844e-06
100,875.993,0.83406,0.44909,0.97983,0.87038,0.8678,0.90235,0.65626,0.99856,0.73557,1.06467,5.5322e-06,5.5322e-06,5.5322e-06
